old_trait_name,breedbase_id,breedbase_name,breedbase_column_header
50 seed weight,CO_323:0005501,50 grain weight - g,50 grain weight - g|CO_323:0005501
Barley percentage,CO_323:0005502,Barley ground cover - %,Barley ground cover - %|CO_323:0005502
Barely percentage T1,COMP:0000002,Barley ground cover - %|timepoint 1,Barley ground cover - %|timepoint 1|COMP:0000002
Barely percentage T2,COMP:0000003,Barley ground cover - %|timepoint 2,Barley ground cover - %|timepoint 2|COMP:0000003
Barely percentage T3,COMP:0000004,Barley ground cover - %|timepoint 3,Barley ground cover - %|timepoint 3|COMP:0000004
Barely percentage T4,COMP:0000005,Barley ground cover - %|timepoint 4,Barley ground cover - %|timepoint 4|COMP:0000005
Barely percentage T5,COMP:0000006,Barley ground cover - %|timepoint 5,Barley ground cover - %|timepoint 5|COMP:0000006
CSR_NDVI,REMOVE,,
Early Plant height,CO_323:0005503,Plant early height - cm,Plant early height - cm|CO_323:0005503
Early vigor,CO_323:0000490,Plant early vigour - 1-9 Plant vigour scale,Plant early vigour - 1-9 Plant vigour scale|CO_323:0000490
emergence,REMOVE,,
flag leaf length,CO_323:0000323,Flag leaf length - cm,Flag leaf length - cm|CO_323:0000323
flag leaf weight,CO_323:0005504,Flag leaf weight - mg,Flag leaf weight - mg|CO_323:0005504
flag leaf width,CO_323:0000327,Flag leaf width - cm,Flag leaf width - cm|CO_323:0000327
grain hardness,CO_323:0005505,Grain hardness SKCS - SKCS,Grain hardness SKCS - SKCS|CO_323:0005505
grain weight,CO_323:0005506,Grain weight - mg,Grain weight - mg|CO_323:0005506
grain yield,CO_323:0000390,Grain yield adjusted weight basis - kg/ha,Grain yield adjusted weight basis - kg/ha|CO_323:0000390
harvest index,CO_323:0000407,Harvest index - %,Harvest index - %|CO_323:0000407
head drop (0-9),CO_323:0005507,Head drop - 0-9 Head Drop Rating,Head drop - 0-9 Head Drop Rating|CO_323:0005507
head shattering,CO_323:0005508,Head shattering - %,Head shattering - %|CO_323:0005508
heading date,CO_323:0005509,Heading time - days,Heading time - days|CO_323:0005509
heading date (Julian),CO_323:0005510,Heading time - Julian day,Heading time - Julian day|CO_323:0005510
K,REMOVE,,
kernel weight,CO_323:0005506,Grain weight - mg,Grain weight - mg|CO_323:0005506
leaf rust severity,CO_323:0005511,Leaf Rust severity - %,Leaf Rust severity - %|CO_323:0005511
leaf width,CO_323:0005512,Leaf width - cm,Leaf width - cm|CO_323:0005512
lodging,CO_323:0005513,Lodging incidence - %,Lodging incidence - %|CO_323:0005513
lodging degree,CO_323:0005514,Lodging degree - 0-9 lodging degree scale,Lodging degree - 0-9 lodging degree scale|CO_323:0005514
maturity date (physiological),CO_323:0005515,Maturity time - Julian day,Maturity time - Julian day|CO_323:0005515
Na,REMOVE,,
Na/K,REMOVE,,
non-productive tillers per plant,CO_323:0005516,Non-bearing tiller number per plant - tiller/plant,Non-bearing tiller number per plant - tiller/plant|CO_323:0005516
Open ground percentage,CO_323:0005517,Open ground cover - %,Open ground cover - %|CO_323:0005517
Open ground percentage T1,COMP:0000007,Open ground cover - %|timepoint 1,Open ground cover - %|timepoint 1|COMP:0000007
Open ground percentage T2,COMP:0000008,Open ground cover - %|timepoint 2,Open ground cover - %|timepoint 2|COMP:0000008
Open ground percentage T3,COMP:0000009,Open ground cover - %|timepoint 3,Open ground cover - %|timepoint 3|COMP:0000009
Open ground percentage T4,COMP:0000010,Open ground cover - %|timepoint 4,Open ground cover - %|timepoint 4|COMP:0000010
Open ground percentage T5,COMP:0000011,Open ground cover - %|timepoint 5,Open ground cover - %|timepoint 5|COMP:0000011
plant dry weight,REMOVE,,
plant height,CO_323:0000494,Plant height - cm,Plant height - cm|CO_323:0000494
productive tillers per plant,CO_323:0005518,Effective tiller number - tiller/plant,Effective tiller number - tiller/plant|CO_323:0005518
Seedling count,CO_323:0005519,Seedling count - count,Seedling count - count|CO_323:0005519
spikes per area,CO_323:0000538,Spike number - spike/m2,Spike number - spike/m2|CO_323:0000538
