old_trait_name,breedbase_id,breedbase_name,breedbase_column_header
freeze damage severity,CO_350:0005001,Freeze damage severity - 0-9 Rating,Freeze damage severity - 0-9 Rating|CO_350:0005001
storm damage severity,CO_350:0005002,Storm damage severity - 1-5 Rating,Storm damage severity - 1-5 Rating|CO_350:0005002
winter stress severity,CO_350:0005003,Winter stress severity - 0-9 Rating,Winter stress severity - 0-9 Rating|CO_350:0005003
winter survival,CO_350:0000170,Winter survival - percent,Winter survival - percent|CO_350:0000170
agronomic score,CO_350:0000185,Agronomic score - 1-5 agronomic score scale,Agronomic score - 1-5 agronomic score scale|CO_350:0000185
breakage incidence,CO_350:0000182,Breakage incidence - 1-10 breakage incidence scale,Breakage incidence - 1-10 breakage incidence scale|CO_350:0000182
emergence,CO_350:0005004,Emergence - %,Emergence - %|CO_350:0005004
forage rating,CO_350:0005005,Forage rating - 0-9 Rating,Forage rating - 0-9 Rating|CO_350:0005005
grain yield,CO_350:0000260,Grain yield - g/m2,Grain yield - g/m2|CO_350:0000260
groat content,CO_350:0000162,Groat content (machine dehulled) - percent,Groat content (machine dehulled) - percent|CO_350:0000162
groat content hand,CO_350:0005006,Groat content (hand dehulled) - %,Groat content (hand dehulled) - %|CO_350:0005006
heading date,CO_350:0000270,Heading date - Julian day,Heading date - Julian day|CO_350:0000270
lodging incidence,CO_350:0000165,Lodging incidence - percent,Lodging incidence - percent|CO_350:0000165
lodging severity,CO_350:0005007,Lodging severity - 0-9 Rating,Lodging severity - 0-9 Rating|CO_350:0005007
maturity date,CO_350:0000271,Maturity date - Julian day,Maturity date - Julian day|CO_350:0000271
phenotype score,CO_350:0005008,Phenotype score - 0-9 Rating,Phenotype score - 0-9 Rating|CO_350:0005008
plant height,CO_350:0000232,Plant height - cm,Plant height - cm|CO_350:0000232
relative canopy development,CO_350:0000212,Relative canopy development - 1-9 relative canopy development scale,Relative canopy development - 1-9 relative canopy development scale|CO_350:0000212
silage yield 65% moisture,CO_350:0005009,Silage yield (65% moisture) - t/ac,Silage yield (65% moisture) - t/ac|CO_350:0005009
silage yield dry matter,CO_350:0005010,Silage yield (dry matter) - t/ac,Silage yield (dry matter) - t/ac|CO_350:0005010
snapback,CO_350:0000217,Snapback - 1-9 snapback scale,Snapback - 1-9 snapback scale|CO_350:0000217
barley yellow dwarf virus incidence,CO_350:0000155,Barley yellow dwarf virus incidence - percent,Barley yellow dwarf virus incidence - percent|CO_350:0000155
barley yellow dwarf virus severity plot,CO_350:0005011,Barley yellow dwarf virus severity - 0-9 Rating,Barley yellow dwarf virus severity - 0-9 Rating|CO_350:0005011
bird damage severity,CO_350:0005012,Bird damage severity - 0-9 Rating,Bird damage severity - 0-9 Rating|CO_350:0005012
cereal leaf beetle damage severity,CO_350:0005013,Cereal leaf beetle damage severity - 0-3 Rating,Cereal leaf beetle damage severity - 0-3 Rating|CO_350:0005013
crown rust infection response,CO_350:0005014,Crown rust infection response - 0-1 Disease Infection Response Rating,Crown rust infection response - 0-1 Disease Infection Response Rating|CO_350:0005014
